INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,DAY_OF_WEEK,HOUR,Lat,Long
232007173,,INVESTIGATE PERSON,B3,Friday   ,22,42.27166144598919,-71.09953381947697
232004454,,VERBAL DISPUTE,B2,Tuesday  ,20,42.312596725464594,-71.09287521197788
232006290,,INVESTIGATE PERSON,A1,Tuesday  ,0,42.36569984586877,-71.052891614826
232012445,,THREATS TO DO BODILY HARM,C6,Wednesday,18,42.32696694388879,-71.06198554191644
232013356,,"MURDER, NON-NEGLIGENT MANSLAUGHTER",B3,Saturday ,21,42.29598150117467,-71.08975987113469
232014339,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,A1,Wednesday,18,42.35074244990026,-71.06006087926775
232072979,,SERVICE TO OTHER AGENCY,D14,Friday   ,1,42.36402800685285,-71.1196284437359
232017306,,INVESTIGATE PERSON,B2,Sunday   ,20,42.33487308948349,-71.08504594781867
232018538,,INVESTIGATE PERSON,D4,Tuesday  ,18,42.34746283310742,-71.09826540629957
232013562,,VERBAL DISPUTE,C6,Sunday   ,18,42.34185598887488,-71.0570585742639
232013561,,VERBAL DISPUTE,B2,Sunday   ,19,42.316321740597466,-71.08922988803546
232013567,,SICK ASSIST,E18,Sunday   ,20,42.25874106305607,-71.1260751503175
232013581,,VERBAL DISPUTE,C11,Sunday   ,21,42.31975778298231,-71.0542888887518
232013599,,INVESTIGATE PERSON,C11,Sunday   ,23,42.30524457403058,-71.0748374009579
232013597,,VERBAL DISPUTE,C11,Sunday   ,23,42.30385490479877,-71.06087527197236
232032008,,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,B3,Tuesday  ,22,42.29869499455359,-71.07555205657886
232035121,,INVESTIGATE PERSON,D14,Sunday   ,0,42.34041044398112,-71.14372962922079
232002636,,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,D4,Wednesday,2,42.340590408115325,-71.08173944604856
232029608,,VANDALISM,A1,Sunday   ,22,42.35739590472522,-71.07008872693763
252074265,,INVESTIGATE PERSON,D14,Saturday ,1,42.35186740533659,-71.12290572085581
252099132,,FIRE REPORT,B2,Saturday ,2,42.31830218937227,-71.08575355258694
232044261,,INVESTIGATE PERSON,A1,Tuesday  ,1,42.35487365146457,-71.05861218049148
232071381,,INVESTIGATE PERSON,E5,Friday   ,18,42.287093552591074,-71.14822128377165
232024716,,ASSAULT - SIMPLE,E13,Thursday ,21,42.320665764510814,-71.10004924891845
232025496,,VANDALISM,D4,Sunday   ,20,42.33483154926247,-71.07904079286855
232026984,,ASSAULT - AGGRAVATED,A1,Friday   ,0,42.352510521284685,-71.06719118540572
242040636,,INVESTIGATE PERSON,B2,Wednesday,0,42.33744151891778,-71.10428095571272
232087111,,INVESTIGATE PERSON,C6,Friday   ,21,42.32553800747193,-71.06579591901075
232062630,,INVESTIGATE PERSON,D4,Sunday   ,19,42.34188295840222,-71.07817738146181
232065631,,INVESTIGATE PERSON,D4,Wednesday,18,42.34150501058682,-71.08833673494652
232007972,,ASSAULT - SIMPLE,D14,Monday   ,18,42.35170571387404,-71.11989955508469
232038955,,ASSAULT - AGGRAVATED,B3,Thursday ,22,42.284580268556105,-71.0808324363608
232040481,,ROBBERY,B3,Tuesday  ,23,42.28785436891502,-71.08679617691907
232040722,,BALLISTICS EVIDENCE/FOUND,D4,Wednesday,18,42.335434388463874,-71.08076683555426
232033039,,INVESTIGATE PERSON,D4,Saturday ,0,42.33281995479873,-71.07439998776083
242009965,,THREATS TO DO BODILY HARM,E18,Friday   ,0,42.25621592040215,-71.12401947329023
232016855,,ASSAULT - SIMPLE,A7,Friday   ,20,42.36908119485497,-71.04021570936975
232044656,,BURGLARY - COMMERICAL,B2,Tuesday  ,22,42.31865146760126,-71.08162285612738
232001615,,ASSAULT - SIMPLE,B3,Saturday ,2,42.290409230590654,-71.07693574277538
232041360,,INVESTIGATE PERSON,B3,Friday   ,19,42.28539021967645,-71.08457729516833
232046049,,SERVICE TO OTHER AGENCY,A7,Sunday   ,2,42.37215880290139,-71.03852378203004
232047171,,INVESTIGATE PERSON,B3,Thursday ,21,42.27615691256161,-71.09550303038291
232048619,,SERVICE TO OTHER AGENCY,B2,Tuesday  ,20,42.33538443957382,-71.10677964872764
232053261,,SERVICE TO OTHER AGENCY,C11,Thursday ,21,42.29755532959651,-71.05970910242573
232055952,,INVESTIGATE PERSON,E13,Saturday ,21,42.29182834849583,-71.11780085454099
232056181,,INVESTIGATE PERSON,C6,Sunday   ,18,42.34128750439044,-71.05467932649397
232064334,,ASSAULT - AGGRAVATED,D4,Saturday ,21,42.345075000393805,-71.07612300150303
232044236,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,D4,Monday   ,21,42.34496728455054,-71.0638222387923
232065296,,LARCENY THEFT FROM BUILDING,C11,Wednesday,18,42.29755532959651,-71.05970910242573
232067677,,ASSAULT - AGGRAVATED,D4,Wednesday,22,42.34123770877118,-71.0682754202783
232057808,,INVESTIGATE PERSON,E5,Friday   ,19,42.28926780399773,-71.1301727970835
242006467,,LARCENY ALL OTHERS,E5,Monday   ,0,42.287093552591074,-71.14822128377165
232086607,,INVESTIGATE PERSON,C6,Wednesday,0,42.34128750439044,-71.05467932649397
232085013,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,A1,Friday   ,18,42.35074197291232,-71.06006134581432
232085746,,HARASSMENT/ CRIMINAL HARASSMENT,A7,Sunday   ,1,42.381325051436406,-71.02804009578
232089928,,BURGLARY - RESIDENTIAL,A7,Sunday   ,1,42.381325051436406,-71.02804009578
232087661,,INVESTIGATE PERSON,C6,Sunday   ,18,42.33135897901256,-71.04196297152804
232061901,,HARASSMENT/ CRIMINAL HARASSMENT,A1,Friday   ,0,42.359721364854025,-71.05852360114129
232094299,,INVESTIGATE PERSON,B2,Monday   ,2,42.31557284972261,-71.07503392904671
232078503,,ASSAULT - SIMPLE,E5,Tuesday  ,18,42.287093552591074,-71.14822128377165
232079399,,MISSING PERSON,C11,Sunday   ,23,42.3104339974624,-71.06134009762133
232036791,,FIRE REPORT,E5,Thursday ,19,42.28572875232596,-71.12265269612999
232005589,,INVESTIGATE PERSON,A1,Sunday   ,0,42.36416781086197,-71.05407040755179
232096913,,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,C11,Wednesday,1,42.29481426184952,-71.07200870966095
232082438,,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,D4,Thursday ,2,42.34802569808531,-71.09622619865905
232097450,,INVESTIGATE PERSON,C11,Thursday ,20,42.29234068370162,-71.04803995551818
232079369,,INVESTIGATE PERSON,D4,Sunday   ,20,42.347024794823625,-71.08516365454005
232090990,,INVESTIGATE PERSON,B3,Thursday ,1,42.28362830278811,-71.0934955275648
232015502,,ASSAULT - SIMPLE,A15,Monday   ,0,42.380482070196415,-71.06087725234303
232077928,,ASSAULT - AGGRAVATED,D4,Tuesday  ,20,42.33653701417095,-71.07927105177906
232099373,,HARASSMENT/ CRIMINAL HARASSMENT,D4,Wednesday,23,42.339541989830174,-71.06940876967543
232099647,,HARASSMENT/ CRIMINAL HARASSMENT,D4,Thursday ,21,42.339541989830174,-71.06940876967543
232103370,,AUTO THEFT,E13,Tuesday  ,21,42.309718567672725,-71.10429431787648
232105773,,THREATS TO DO BODILY HARM,D4,Thursday ,22,42.3463537670452,-71.0762378541931
242007631,,INVESTIGATE PERSON,B2,Sunday   ,22,42.33700200415136,-71.09714000528234
242004891,,DEATH INVESTIGATION,C11,Thursday ,20,42.3009548788111,-71.06537601413639
242015091,,SERVICE TO OTHER AGENCY,C6,Friday   ,20,42.34128750439044,-71.05467932649397
